# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:P'
# Event count (approx.): 31394175365
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
    11.63%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
            |          
            |--0.61%--0x7f72a43aa824
            |          
             --0.53%--0x7f72a44acf35

     0.58%  snf-capture  [kernel.kallsyms]                               [k] arch_exit_to_user_mode_prepare.isra.0
     0.57%  snf-capture  libc.so.6                                       [.] pthread_mutex_lock
     0.56%  snf-capture  libc.so.6                                       [.] write
     0.55%  snf-capture  [kernel.kallsyms]                               [k] rw_verify_area
     0.54%  snf-capture  snuffles                                        [.] dissect_ipv4.isra.0
     0.53%  snf-capture  libc.so.6                                       [.] 0x000000000005a35a
     0.53%  snf-capture  libc.so.6                                       [.] 0x000000000005a2f3
     0.51%  snf-capture  [kernel.kallsyms]                               [k] link_path_walk.part.0.constprop.0
     0.51%  snf-capture  [kernel.kallsyms]                               [k] dput
     0.49%  snf-capture  libc.so.6                                       [.] memcpy@plt
     0.46%  snf-capture  libc.so.6                                       [.] 0x0000000000162b94
     0.46%  snf-capture  [kernel.kallsyms]                               [k] step_into
     0.45%  snf-capture  libc.so.6                                       [.] 0x0000000000162b75
     0.44%  snf-capture  [kernel.kallsyms]                               [k] mutex_lock
     0.43%  snf-capture  [kernel.kallsyms]                               [k] __memset
     0.42%  snf-capture  libpcap.so.1.10.5                               [.] 0x00000000000099de
     0.42%  snf-capture  libc.so.6                                       [.] 0x000000000005a2c8
     0.41%  snf-capture  [kernel.kallsyms]                               [k] lookup_fast
     0.41%  snf-capture  libc.so.6                                       [.] 0x0000000000162b43
     0.41%  snf-capture  libc.so.6                                       [.] 0x0000000000164f41
     0.40%  snf-capture  snuffles                                        [.] key_hash
     0.38%  snf-capture  [kernel.kallsyms]                               [k] __d_lookup
     0.38%  snf-capture  libc.so.6                                       [.] 0x0000000000063689
     0.37%  snf-capture  libc.so.6                                       [.] 0x000000000005a2c4
     0.36%  snf-capture  libc.so.6                                       [.] 0x0000000000162b86
     0.36%  snf-capture  libc.so.6                                       [.] 0x000000000005a2f8
     0.35%  snf-capture  libc.so.6                                       [.] 0x000000000008f6ad
     0.35%  snf-capture  libc.so.6                                       [.] 0x0000000000062971
     0.34%  snf-capture  libc.so.6                                       [.] 0x000000000005a2bb
     0.34%  snf-capture  libc.so.6                                       [.] 0x0000000000162b7a
     0.33%  snf-capture  [kernel.kallsyms]                               [k] dev_get_stats
     0.33%  snf-capture  libc.so.6                                       [.] 0x0000000000162b70
     0.33%  snf-capture  [kernel.kallsyms]                               [k] down_read
     0.33%  snf-capture  libc.so.6                                       [.] strchrnul@plt
     0.33%  snf-capture  libc.so.6                                       [.] 0x0000000000063178
     0.32%  snf-capture  libc.so.6                                       [.] 0x000000000009a9ec
     0.32%  snf-capture  libc.so.6                                       [.] 0x000000000005a305
     0.31%  snf-capture  libc.so.6                                       [.] 0x000000000005a300
     0.30%  snf-capture  libc.so.6                                       [.] 0x000000000005a355
     0.28%  snf-capture  libc.so.6                                       [.] 0x0000000000062f74
     0.28%  snf-capture  libc.so.6                                       [.] 0x000000000005a2b3
