# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 31359576209
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
     0.26%  snf-capture  [kernel.kallsyms]                               [k] __ip_finish_output
     0.26%  snf-capture  libc.so.6                                       [.] 0x000000000005a2f3
     0.26%  snf-capture  [kernel.kallsyms]                               [k] syscall_exit_to_user_mode
     0.26%  snf-capture  libpcap.so.1.10.5                               [.] 0x0000000000009527
     0.26%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSCALL_64_after_hwframe
     0.25%  snf-capture  [kernel.kallsyms]                               [k] __dev_forward_skb2
     0.25%  snf-capture  [kernel.kallsyms]                               [k] siphash_3u32
     0.25%  snf-capture  libc.so.6                                       [.] memcpy@plt
     0.24%  snf-capture  libc.so.6                                       [.] write
     0.24%  snf-capture  [kernel.kallsyms]                               [k] netdev_core_pick_tx
     0.24%  snf-capture  [kernel.kallsyms]                               [k] kernfs_iop_permission
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000162b86
     0.23%  snf-capture  [kernel.kallsyms]                               [k] _raw_spin_lock_irqsave
