name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A3d-pktgen64-8cpu-ratep-1m,pcap,quiet,pktgen,64,ok,999912,20304200,12249372,606018.5,8054828,39.6707,0,0,0,0,0,,0,4,39.6707,647328,99.93,0.0,0.0,19.7,,,105,0,False,0,0,18001928,0,19.057,19,1000009.3,10917424,7097744,39.3987,99.93,,,,,,,,,,20304200,20304200,20304200,0,20304200,0,0,100.0,100.0,,,,7.52,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A3e-pktgen64-8cpu-ratep-2m,pcap,quiet,pktgen,64,ok,1999816,40603095,12503056,616318.3,28100039,69.2066,0,0,0,0,0,,0,4,69.2066,645524,99.93,0.0,0.0,20.9,,,116,0,False,0,0,36003633,0,19.057,19,1999902.3,11104824,24929416,69.1826,99.93,,,,,,,,,,40603095,40603095,40603095,0,40603095,0,0,100.0,100.0,,,,7.4,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A4-pktgen1514-8cpu-max,pcap,quiet,pktgen,1514,ok,2815095,85478274,16315446,535501.9,69162828,80.9128,0,0,0,0,0,,0,4,80.9128,645560,99.95,0.0,0.0,20.0,1.01558,1.649,1016,0,False,0,0,78827229,0,29.127,29,2814963.8,15008512,63886478,80.9766,99.98,1.0,10.001417687,5211107,5292319,5210899,81420,18.6,,,85478274,85478274,85478274,0,85478274,0,0,100.0,100.0,,,,8.16,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A5-pktgen9014-8cpu-max,pcap,quiet,pktgen,9014,ok,1823341,55318810,13420075,443111.4,41898735,75.7405,0,0,0,0,0,,0,4,75.7405,646252,99.94,0.0,0.0,18.9,,,1075,0,False,0,0,51047651,0,29.092,29,1823162.5,12418640,38677311,75.6955,99.97,,,,,,,,,,55318810,55318810,55318810,0,55318810,0,0,100.0,100.0,,,,8.19,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A6-pktgen64-8cpu-flows1m,pcap,quiet,pktgen,64,ok,2752659,83637658,7925501,259702.7,75712157,90.524,0,0,0,0,0,,0,100000,90.524,672532,99.96,0.0,0.0,20.7,1.0117,0.93,1028,0,False,0,0,77076482,0,29.121,29,2752802.0,7278167,69869108,90.5659,99.92,1.0,10.001387036,2558238,2588157,2548340,39817,19.6,,,83637658,83637658,83637658,0,83637658,0,0,100.0,100.0,,,,8.41,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A7-pktgen64-8cpu-snap128,pcap,quiet,pktgen,64,ok,2801831,85024132,18857252,619892.3,66166880,77.8213,0,0,0,0,0,,0,4,77.8213,9852,99.95,0.0,0.0,21.4,,,1042,0,False,0,0,78473214,0,29.084,29,2802338.6,17373721,61167423,77.8795,99.92,,,,,,,,,,85024132,85024132,85024132,0,85024132,0,0,100.0,100.0,,,,8.47,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A8-pktgen64-8cpu-ring1m-snap256,pcap,quiet,pktgen,64,ok,2804789,85143212,16719924,549088.9,68423288,80.3626,0,0,0,0,0,,0,4,80.3626,629624,99.96,0.0,0.0,20.0,,,71,0,False,0,0,78552239,0,29.084,29,2805514.9,15388216,63236339,80.4282,99.93,,,,,,,,,,85143212,85143212,85143212,0,85143212,0,0,100.0,100.0,,,,8.91,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A9-raw-pktgen64-8cpu-max,raw,quiet,pktgen,64,ok,2834009,86081879,12389416,409838.4,73692463,85.6074,0,0,0,0,0,,0,4,85.6074,645052,99.91,0.0,0.0,20.2,1.99934,1.329,940,0,False,0,0,79353812,73692463,29.123,29,2833718.2,11486131,67931654,85.5371,99.95,0.999,10.001240788,3811425,7620319,3809699,930,20.2,,,86081879,86081879,86081879,0,86081879,0,0,100.0,100.0,,,,8.99,PACKET_STATISTICS tp_drops (== ss sk_drops)
B1-headless-1m,pcap,headless,pktgen,64,ok,999947,30340987,12106197,398289.8,18234790,60.0995,0,0,12106197,0,0,,0,4,60.0995,645424,99.78,88.96,0.0,6278.9,,,118,0,False,0,0,28000307,0,29.086,29,1000016.1,11162469,16863982,60.1717,188.82,,,,,,,,,,30340987,30340987,30340987,0,30340987,0,0,100.0,100.0,,,,8.87,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B1x-headless-max,pcap,headless,pktgen,64,ok,2814246,85360423,13230726,434872.5,72129697,84.5002,0,0,13230726,0,0,,0,4,84.5002,645536,99.38,87.56,0.0,-136.0,,,131,0,False,0,0,78811289,0,29.085,29,2814409.8,12188172,66691292,84.5484,186.9,,,,,,,,,,85360423,85360423,85360423,0,85360423,0,0,100.0,100.0,,,,9.24,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
