name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
B1-headless-1m,pcap,headless,pktgen,64,ok,999941,30365718,12588239,416924.8,17777479,58.5446,0,0,12588239,0,0,,0,4,58.5446,645796,99.63,85.74,0.0,7150.5,,,83,0,False,0,0,28005654,0,29.089,29,999973.4,11686402,16342852,58.3064,185.4,,,,,,,,,,30365718,30365718,30365718,0,30365718,0,0,100.0,100.0,,,,10.27,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B2-jsonl-1m,pcap,jsonl,pktgen,64,ok,999945,30320527,12369122,408945.2,17951405,59.2055,0,0,12369122,0,0,,0,4,59.2055,646088,99.51,86.55,0.0,6934.9,,,1119,0,False,0,0,27999216,0,29.091,29,999992.1,11461506,16565273,59.1052,186.02,,,,,,,,,,30320527,30320527,30320527,0,30320527,0,0,100.0,100.0,,,,9.75,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B8-headlesspipe-1m,pcap,headless-pipe,pktgen,64,ok,999946,30337512,11235308,370442.9,19102204,62.9656,0,0,11235308,0,0,,0,4,62.9656,647768,99.46,86.92,0.0,7299.0,,,1094,0,False,0,0,28001136,0,29.092,29,999990.1,10381661,17643061,62.9553,186.38,,,,,,,,,,30337512,30337512,30337512,0,30337512,0,0,100.0,100.0,,,,9.54,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
