name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A2-pktgen64-8cpu-max,pcap,quiet,pktgen,64,ok,2790349,84747149,20667714,664030.3,64079435,75.6125,0,0,0,0,0,,0,4,75.6125,708904,99.91,0.0,0.0,44.4,1.0073,1.849,1021,0,False,0,0,80974442,0,29.121,30,2794037.7,18610776,59697719,76.234,99.91,0.999,10.001391599,6296909,6342853,6342813,40,42.0,,,84747149,84747149,84747149,0,84747149,0,0,100.0,100.0,,,,8.38,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A3d-pktgen64-8cpu-ratep-1m,pcap,quiet,pktgen,64,ok,999915,19312023,14121916,713874.1,5190107,26.875,0,0,0,0,0,,0,4,26.875,709028,99.81,0.06,0.0,97.3,,,129,0,False,0,0,17001924,0,18.055,18,999011.1,12146567,4851607,28.5419,99.81,,,,,,,,,,19312023,19312023,19312023,0,19312023,0,0,100.0,100.0,,,,8.08,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B1-headless-1m,pcap,headless,pktgen,64,ok,999943,29338517,16505294,554102.8,12833223,43.7419,0,0,16505294,0,0,,0,4,43.7419,709220,99.87,99.43,0.0,570.8,,,1079,0,False,0,0,27002877,0,28.083,28,1001105.2,14974075,12079791,44.6509,199.29,,,,,,,,,,29338517,29338517,29338517,0,29338517,0,0,100.0,100.0,,,,8.2,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B6-tui-1m,pcap,tui,pktgen,64,ok,999941,29399613,14390093,473168.6,15009520,51.0535,0,0,0,0,0,,0,4,51.0535,711080,99.78,97.41,0.0,461.7,1.03175,1.606,976,0,False,0,0,27003693,0,28.135,28,1000764.6,12788801,14259864,52.7193,197.18,1.978,10.001637408,4347612,4485633,4485594,39,304.7,,,29399613,29399613,29399613,0,29399613,0,0,100.0,100.0,,,,8.83,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
