# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 19478654369
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
    11.61%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
            |          
            |--0.63%--0x7f277a6e4824
            |          
             --0.54%--0x7f277a7e6f35

     0.22%  snf-capture  libc.so.6                                       [.] 0x000000000005a2e3
     0.22%  snf-capture  libc.so.6                                       [.] 0x000000000005a30a
     0.22%  snf-capture  libc.so.6                                       [.] 0x000000000006298a
     0.22%  snf-capture  libc.so.6                                       [.] 0x000000000005a358
     0.22%  snf-capture  libc.so.6                                       [.] 0x000000000005a2c3
     0.21%  snf-capture  libc.so.6                                       [.] 0x000000000008f6ad
     0.20%  snf-capture  libc.so.6                                       [.] 0x000000000005a2d7
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000162b43
     0.20%  snf-capture  libc.so.6                                       [.] 0x000000000005a2bb
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000062d55
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000063d48
     0.20%  snf-capture  [kernel.kallsyms]                               [k] do_dentry_open
     0.20%  snf-capture  [kernel.kallsyms]                               [k] __memcg_slab_free_hook
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000063178
     0.20%  snf-capture  libc.so.6                                       [.] 0x000000000006265d
     0.20%  snf-capture  [kernel.kallsyms]                               [k] dev_get_stats
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000164f27
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000062ccb
     0.20%  snf-capture  libc.so.6                                       [.] 0x000000000006283e
