name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
C3-http-close,pcap,quiet,http,64,ok,,,12320193,409702.3,2906812,19.0898,0,0,0,0,0,,0,100000,,678448,99.96,0.0,0.0,27.8,,,106,0,False,0,0,14726458,0,30.103,30,507805.4,11895298,2848325,19.319,99.93,,,,,,,,,1,15227005,15227005,7614385,7612620,7614385,7612620,0,100.0,,,,,3.0,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C3t-http-close-tui-sessions,pcap,tui-sessions,http,64,ok,,,6929670,228448.0,7908702,53.299,0,0,0,0,0,,0,100000,,700892,69.42,97.52,0.0,2012.5,,,141,0,False,0,0,14581090,0,30.113,31,494013.8,6641441,7720527,53.7567,166.97,,,,,,,,,1,14838372,14838372,7420070,7418302,7420070,7418302,0,100.0,,,,,4.76,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
