# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:P'
# Event count (approx.): 31383414128
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
    11.75%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
            |          
            |--0.64%--0x7f798ce28824
            |          
             --0.58%--0x7f798ce1ea20

     3.75%  snf-capture  snuffles                                        [.] dissect_packet
            |          
             --0.58%--entry_SYSCALL_64
                       0x7f798ce609ee
                       capture_callback
                       0x7f798d0b3527

     0.23%  snf-capture  libc.so.6                                       [.] 0x0000000000063689
     0.23%  snf-capture  [kernel.kallsyms]                               [k] dev_fetch_sw_netstats
     0.23%  snf-capture  libc.so.6                                       [.] 0x000000000008f66f
     0.23%  snf-capture  libc.so.6                                       [.] 0x00000000000626f9
     0.21%  snf-capture  [kernel.kallsyms]                               [k] up_read
     0.21%  snf-capture  libc.so.6                                       [.] 0x000000000005a2d4
     0.21%  snf-capture  libc.so.6                                       [.] 0x0000000000063b67
     0.21%  snf-capture  [kernel.kallsyms]                               [k] generic_permission
     0.21%  snf-capture  libc.so.6                                       [.] 0x0000000000063b70
     0.21%  snf-capture  libc.so.6                                       [.] 0x000000000005a30f
     0.21%  snf-capture  libc.so.6                                       [.] 0x00000000000635dd
     0.21%  snf-capture  libc.so.6                                       [.] 0x0000000000164f37
     0.20%  snf-capture  libc.so.6                                       [.] 0x000000000006298a
     0.20%  snf-capture  libc.so.6                                       [.] 0x00000000000626f0
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000063bb0
