# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 19341069663
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
    10.33%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
            |          
             --0.59%--0x7fab9c9df355

     6.15%  snf-capture  snuffles                                        [.] dissect_packet
            |          
             --0.65%--entry_SYSRETQ_unsafe_stack
                       0x7fab9ca1f9ee
                       capture_callback
                       0x7fab9cc72527

     0.24%  snf-capture  libc.so.6                                       [.] 0x000000000005a356
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000062665
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000164f2b
     0.24%  snf-capture  libc.so.6                                       [.] 0x000000000005a2fd
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000063d7c
     0.24%  snf-capture  libc.so.6                                       [.] 0x000000000005a358
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000063b67
     0.23%  snf-capture  libc.so.6                                       [.] 0x0000000000062840
     0.23%  snf-capture  libc.so.6                                       [.] 0x0000000000063ca5
     0.22%  snf-capture  [kernel.kallsyms]                               [k] dput
     0.22%  snf-capture  libc.so.6                                       [.] 0x000000000005a2bd
     0.22%  snf-capture  libc.so.6                                       [.] 0x0000000000164f3b
     0.22%  snf-capture  [kernel.kallsyms]                               [k] kmem_cache_alloc_noprof
     0.22%  snf-capture  libc.so.6                                       [.] 0x0000000000062969
     0.22%  snf-capture  libc.so.6                                       [.] 0x0000000000062e34
     0.22%  snf-capture  libc.so.6                                       [.] 0x0000000000063bb0
     0.22%  snf-capture  [kernel.kallsyms]                               [k] kernfs_fop_open
