name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,sinks,stream_write_failures,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,cpu_mhz_win,cycles_per_pkt,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,latency_count,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_syscalls_openat,perf_syscalls_read,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A2-pktgen64-8cpu-max,pcap,quiet,pktgen,64,ok,2572669,52285894,52285894,2572654.6,0,0.0,0,0,0,0,0,,0,4,0,0,0.0,88932,30.77,0.0,0.0,1507.9,3974.7,475.4,,,152,0,False,,,,,,0,0,46312750,0,19.059,19,2572654.6,46361808,0,0.0,30.83,,,,,,,,,,,,52285894,52285894,52285894,0,52285894,0,0,100.0,100.0,,,,6.56,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A2-pktgen64-8cpu-max-ndr-ceil,pcap,quiet,pktgen,64,ok,2577119,52388534,52388534,2577547.7,0,0.0,0,0,0,0,0,,0,4,0,0,0.0,88692,32.45,0.0,0.0,1514.8,3974.7,500.4,,,118,0,False,,,,,,0,0,46395470,0,19.06,19,2577547.7,46447409,0,0.0,32.45,,,,,,,,,,,,52388534,52388534,52388534,0,52388534,0,0,100.0,100.0,,,,9.74,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A2-pktgen64-8cpu-max-ndr-confirm,pcap,quiet,pktgen,64,ok,2574709,52314615,52314615,2575094.7,0,0.0,0,0,0,0,0,,0,4,0,0,0.0,88868,31.89,0.0,0.0,1511.5,3974.7,492.2,,,106,0,False,,,,,,0,0,46354496,0,19.061,19,2575094.7,46408356,0,0.0,31.89,,,,,,,,,,,,52314615,52314615,52314615,0,52314615,0,0,100.0,100.0,,,,9.35,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A3d-pktgen64-8cpu-ratep-1m,pcap,quiet,pktgen,64,ok,999920,20327004,20327004,999958.3,0,0.0,0,0,0,0,0,,0,4,0,0,0.0,88860,11.89,0.0,0.0,596.7,3974.7,472.6,,,118,0,False,,,,,,0,0,18002033,0,19.055,19,999958.3,18019248,0,0.0,11.94,,,,,,,,,,,,20327004,20327004,20327004,0,20327004,0,0,100.0,100.0,,,,7.56,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A6-pktgen64-8cpu-flows1m,pcap,quiet,pktgen,64,ok,2523110,51303575,51303575,2524045.9,0,0.0,0,0,0,0,0,,0,100000,0,0,0.0,122184,58.16,0.0,0.0,1481.2,3974.7,915.9,,,107,0,False,,,,,,0,0,45437611,0,19.07,19,2524045.9,45495927,0,0.0,58.21,,,,,,,,,,,,51303575,51303575,51303575,0,51303575,0,0,100.0,100.0,,,,8.38,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B3-syslog-1m,pcap,syslog,pktgen,64,ok,999914,20416139,20416139,1000097.8,0,0.0,0,0,0,6434514,0,6434514,0,0,0,0,0.0,14196,9.0,0.0,0.0,651.8,3974.7,357.7,,,234,0,False,,,,,,0,0,18000622,0,19.098,19,1000097.8,18034764,0,0.0,108.88,,,,,,,,,,,,20416139,20416139,20416139,0,20416139,0,0,100.0,100.0,100.0,0,0,8.83,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B6-tui-1m,pcap,tui,pktgen,64,ok,999940,20349797,20349797,999993.7,0,0.0,0,0,0,0,0,,0,4,0,0,0.0,94036,12.39,4.5,0.0,983.4,3974.7,492.5,,,106,0,False,,,,,,0,0,17998127,0,19.06,19,999993.7,18022886,0,0.0,16.89,,,,,,,,,,,,20349797,20349797,20349797,0,20349797,0,0,100.0,100.0,,,,9.24,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
