name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
B3-syslog-1m,pcap,syslog,pktgen,64,ok,999945,30416605,8168572,254835.2,22248033,73.1444,0,0,0,8168572,0,8168572,0,0,73.1444,68320,99.8,0.04,0.0,78.3,2e-05,1.319,895,0,False,0,0,27997915,0,29.14,29,997083.6,7142265,20802998,74.4419,99.87,0.998,10.001548243,2538997,50,10,40,84.1,,,30416605,30416605,30416605,0,30416605,0,0,100.0,100.0,100.0,0,0,6.19,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B3x-syslog-max,pcap,syslog,pktgen,64,ok,2829011,85971953,7992289,247075.5,77979664,90.7036,0,0,0,7992289,0,7992289,0,0,90.7036,68468,99.86,0.04,0.0,75.3,,,991,0,False,0,0,79260740,0,29.098,29,2821836.7,6924539,72160255,91.2442,99.89,,,,,,,,,,85971953,85971953,85971953,0,85971953,0,0,100.0,100.0,100.0,0,0,7.58,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B9-raw-syslog-1m,raw,syslog,pktgen,64,ok,999938,30391810,6476366,208084.5,23915444,78.6904,0,0,0,6476366,0,6476366,0,0,78.6904,2276,99.86,0.0,0.0,83.6,,,964,0,False,0,0,27998202,23915444,29.097,29,1000040.8,5832191,22196953,79.1924,99.86,,,,,,,,,,30391810,30391810,30391810,0,30391810,0,0,100.0,100.0,100.0,0,0,8.67,PACKET_STATISTICS tp_drops (== ss sk_drops)
