name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A2-pktgen64-8cpu-max,pcap,quiet,pktgen,64,ok,2556580,75083738,75083738,2556854.2,0,0.0,0,0,0,0,0,,0,4,0.0,88904,29.15,0.04,0.0,1500.3,0.00058,1.705,152,0,False,0,0,69030856,0,28.126,28,2556854.2,69116884,0,0.0,29.15,0.295,10.001679947,25568754,14797,10,40,1499.2,,,75083738,75083738,75083738,0,75083738,0,0,100.0,100.0,,,,8.03,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A3d-pktgen64-8cpu-ratep-1m,pcap,quiet,pktgen,64,ok,999913,20300666,20300666,1000032.5,0,0.0,0,0,0,0,0,,0,4,0.0,88908,11.05,0.0,0.0,597.0,,,129,0,False,0,0,18000130,0,19.058,19,1000032.5,18020586,0,0.0,11.17,,,,,,,,,,20300666,20300666,20300666,0,20300666,0,0,100.0,100.0,,,,8.66,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A6-pktgen64-8cpu-flows1m,pcap,quiet,pktgen,64,ok,2511990,76303711,76303711,2512344.8,0,0.0,0,0,0,0,0,,0,100000,0.0,122064,55.7,0.04,0.0,1476.9,0.00058,1.154,141,0,False,0,0,70354128,0,29.131,29,2512344.8,70431073,0,0.0,55.78,0.572,10.001471713,25121451,14553,10,40,1478.1,,,76303711,76303711,76303711,0,76303711,0,0,100.0,100.0,,,,9.14,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A9-raw-pktgen64-8cpu-max,raw,quiet,pktgen,64,ok,2526074,76823621,76823621,2526977.0,0,0.0,0,0,0,0,0,,0,4,0.0,88336,28.21,0.0,0.0,1407.6,0.0011,1.687,141,0,False,0,0,70757640,0,29.125,29,2526977.0,70836220,0,0.0,28.28,0.274,10.001385165,25276678,27767,10,13888,1408.0,,,76823621,76823621,76823621,0,76823621,0,0,100.0,100.0,,,,9.02,PACKET_STATISTICS tp_drops (== ss sk_drops)
B1-headless-1m,pcap,headless,pktgen,64,ok,999941,30360176,30360176,999998.7,0,0.0,0,4997312,25362864,0,0,,0,4,0.0,89500,12.39,91.31,0.0,814.1,,,153,0,False,0,0,28000281,0,29.08,29,999998.7,28033964,0,0.0,103.74,,,,,,,,,,30360176,30360176,30360176,0,30360176,0,0,100.0,100.0,,,,10.06,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B3-syslog-1m,pcap,syslog,pktgen,64,ok,999945,30437582,30437582,1000014.7,0,0.0,0,0,0,9891815,0,9891815,0,0,0.0,14368,8.25,0.0,0.0,645.8,0.00058,1.025,154,0,False,0,0,28002124,0,29.143,29,1000014.7,28037412,0,0.0,108.16,1.086,10.001344081,10001730,5842,10,40,644.8,,,30437582,30437582,30437582,0,30437582,0,0,100.0,100.0,100.0,0,0,10.59,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B6-tui-1m,pcap,tui,pktgen,64,ok,999940,30377070,30377070,999998.7,0,0.0,0,0,0,0,0,,0,4,0.0,94000,12.32,4.68,0.0,331.2,0.00068,1.388,129,0,False,0,0,28000557,0,29.127,29,999998.7,28033964,0,0.0,17.0,0.174,10.001360584,10000282,6801,963,40,869.3,,,30377070,30377070,30377070,0,30377070,0,0,100.0,100.0,,,,9.98,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B7-tuisessions-flows1m,pcap,tui-sessions,pktgen,64,ok,999950,30347910,30347910,1000012.4,0,0.0,0,0,0,0,0,,0,100000,0.0,159876,23.89,7.61,0.0,885.0,,,96,0,False,0,0,28000428,0,29.085,29,1000012.4,28034348,0,0.0,31.5,,,,,,,,,,30347910,30347910,30347910,0,30347910,0,0,100.0,100.0,,,,10.36,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C4-iperf-tcp,pcap,quiet,iperf,64,ok,,,3151252,104708.1,0,0.0,0,0,0,0,0,,0,36,,89300,24.5,0.04,0.04,-461.5,0.17512,0.383,140,0,False,0,0,2933826,0,29.217,29,104708.1,2936538,0,0.0,24.54,0.326,10.002478244,1058718,185404,10,40,18479.8,,1,3151252,3151252,2350602,800650,2350602,800650,0,100.0,,,,,20.11,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
