# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:P'
# Event count (approx.): 31314262480
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
     4.01%  snf-capture  snuffles                                        [.] dissect_packet
            |          
             --0.83%--dissect_packet
                       |          
                        --0.80%--capture_callback
                                  0x7fba0cfd5527

     0.25%  snf-capture  libc.so.6                                       [.] 0x000000000005a2bf
     0.25%  snf-capture  libc.so.6                                       [.] 0x000000000005a356
     0.25%  snf-capture  libc.so.6                                       [.] 0x0000000000062e34
     0.24%  snf-capture  libc.so.6                                       [.] 0x000000000005a2d7
     0.24%  snf-capture  libc.so.6                                       [.] 0x000000000005a2bd
     0.24%  snf-capture  libc.so.6                                       [.] 0x000000000006283e
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000063de5
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000063b67
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000064ad1
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000062e30
     0.24%  snf-capture  libc.so.6                                       [.] 0x00000000000627ff
     0.24%  snf-capture  libc.so.6                                       [.] 0x0000000000058961
     0.23%  snf-capture  libc.so.6                                       [.] 0x0000000000062803
     0.23%  snf-capture  libc.so.6                                       [.] 0x000000000005a2d4
     0.23%  snf-capture  libc.so.6                                       [.] 0x0000000000062f79
     0.23%  snf-capture  libc.so.6                                       [.] 0x0000000000063b70
     0.23%  snf-capture  libc.so.6                                       [.] 0x000000000005a2c0
     0.23%  snf-capture  [kernel.kallsyms]                               [k] __kmalloc_cache_noprof
