name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
A2-pktgen64-8cpu-max,pcap,quiet,pktgen,64,ok,2757157,83809620,28142469,923817.2,55667151,66.421,0,0,0,0,0,,0,4,66.421,645332,99.85,0.0,0.0,70.8,0.01565,2.614,950,0,False,0,0,79960705,0,29.132,30,2757414.9,25889977,51386576,66.497,99.85,0.998,10.001306009,9449505,147890,10,147880,90.9,,,83809620,83809620,83809620,0,83809620,0,0,100.0,100.0,,,,10.0,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
A9-raw-pktgen64-8cpu-max,raw,quiet,pktgen,64,ok,2805968,85305466,16158729,532829.6,69146737,81.0578,0,0,0,0,0,,0,4,81.0578,642996,99.91,0.0,0.0,43.1,1.0001,1.601,914,0,False,0,0,78573754,69146737,29.126,29,2805733.4,14930951,63691309,81.0093,99.91,0.999,10.001368117,5113038,5113558,10,1248,34.5,,,85305466,85305466,85305466,0,85305466,0,0,100.0,100.0,,,,10.82,PACKET_STATISTICS tp_drops (== ss sk_drops)
B1-headless-1m,pcap,headless,pktgen,64,ok,999957,30354205,23649514,786259.3,6704691,22.0882,0,477503,23172011,0,0,,0,4,22.0882,645536,99.38,88.77,0.0,8674.9,,,153,0,False,0,0,28002495,0,29.085,29,1000002.7,22038849,5991227,21.3743,188.22,,,,,,,,,,30354205,30354205,30354205,0,30354205,0,0,100.0,100.0,,,,10.34,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B6-tui-1m,pcap,tui,pktgen,64,ok,999942,29421025,20050604,681035.6,9370421,31.8494,0,0,0,0,0,,0,4,31.8494,645596,99.89,97.59,0.0,274.7,0.03706,2.025,1043,0,False,0,0,26999836,0,28.14,28,999993.4,18407712,8621110,31.896,197.52,1.981,10.00185486,6892149,255440,146838,108602,267.6,,,29421025,29421025,29421025,0,29421025,0,0,100.0,100.0,,,,11.49,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
